,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
applying,0.38320914,0.7108618,0.61360043,0.08893361,0.20193683,0.16195521,0.2141217,0.5810836,0.45989683,0.11211981
organic,0.27586538,0.47206047,0.6572966,0.16854523,0.22923183,0.22373366,0.28129917,0.6573847,0.23482183,0.15942542
manure,0.6194954,0.42024013,0.6180174,0.46458375,0.17841953,0.16654298,0.106579036,0.6722526,0.10297491,0.41271827
to,0.26742607,0.41386276,0.22046776,0.58643407,0.43776578,0.18611416,0.20536281,0.64648116,0.1727944,0.15300903
improve,0.111434445,0.13762218,0.097202264,0.14201243,0.6516245,0.09014868,0.1854681,0.69668615,0.2762592,0.19973372
health,0.2727833,0.15668483,0.17008577,0.07962681,0.21962942,0.4760124,0.6001077,0.61997235,0.106569745,0.21548223
during,0.62689763,0.24487372,0.54543394,0.13598663,0.22009155,0.51728296,0.5603545,0.62709564,0.20203307,0.2751302
growth,0.7453604,0.17013928,0.28930333,0.09661321,0.45917994,0.5188603,0.26511502,0.6293056,0.11422346,0.25536758
irrigation,0.47182935,0.1603963,0.24504688,0.09560632,0.6842851,0.54794997,0.14370951,0.6313681,0.07028148,0.60822046
scheduling,0.35026357,0.43252215,0.1000724,0.20801376,0.40121198,0.59001607,0.023317413,0.5864693,0.20334585,0.23936576
nutrient,0.6331758,0.15755202,0.1627948,0.048884723,0.1746965,0.62341547,0.2231918,0.53610504,0.044533864,0.31293178
management,0.7466849,0.24327172,0.24734157,0.098536894,0.26251897,0.6110727,0.16041188,0.27490795,0.059043985,0.4308244
are,0.64388263,0.23478323,0.59777176,0.11723196,0.45626822,0.6065413,0.23796156,0.23427139,0.08144007,0.64377165
monitored,0.66464114,0.649444,0.4808137,0.27817094,0.5082945,0.63474095,0.17233066,0.37645745,0.26966584,0.67330533
using,0.6339155,0.6430339,0.39332741,0.15229739,0.6944891,0.6074429,0.139976,0.17348772,0.13031837,0.27438247
drip,0.22009361,0.6617833,0.17991097,0.22102782,0.3071899,0.6109999,0.09365222,0.4976682,0.3284927,0.22273748
lines,0.21044415,0.72146636,0.13168797,0.3555975,0.20875013,0.6052662,0.102581464,0.048900016,0.26039433,0.23400772
fertigation,0.1717556,0.6442603,0.2384456,0.5697041,0.18549657,0.5480896,0.32752126,0.10577912,0.23893462,0.6434631
harvest,0.23159146,0.6566971,0.20937864,0.54885703,0.6233015,0.5708832,0.557025,0.1441837,0.50328505,0.34160364
timing,0.29299048,0.6492315,0.14217302,0.5814021,0.6611393,0.53143245,0.27284858,0.4566203,0.5877793,0.22859204
depends,0.37676474,0.7059268,0.26785386,0.56872994,0.29449517,0.50273085,0.23041901,0.14008962,0.61424154,0.15996486
maturity,0.2622547,0.3194698,0.23912434,0.6461438,0.19216187,0.49197736,0.17413616,0.059115272,0.5924457,0.48588508
index,0.17440526,0.29870516,0.3137107,0.6417927,0.17766759,0.4987306,0.57953674,0.077182114,0.39703164,0.17990178
market,0.26465738,0.32343197,0.19405328,0.6676175,0.6520947,0.388472,0.48812655,0.48752537,0.2039853,0.3680944
price,0.56897026,0.69518775,0.4637373,0.6383785,0.3023359,0.22195826,0.5022807,0.4933349,0.22010742,0.16578536
storage,0.7126839,0.25032446,0.276325,0.66204876,0.22574784,0.26679242,0.18669045,0.16282931,0.1908115,0.17469549
availability,0.25368503,0.22366375,0.6236614,0.6645943,0.19318993,0.20703031,0.2949071,0.10073877,0.13082726,0.14006932
